ALSAR	Sarande	ALB	39.8833333333333	20	0.3
ALSHG	Shengjin	ALB	41.8166666666667	19.6	0.3
ALVOA	Vlore	ALB	40.4833333333333	19.4833333333333	0.3
DZALG	Algiers	DZA	36.7833333333333	3.06666666666667	0.3
DZAAE	Annaba	DZA	36.9	7.78333333333333	0.3
DZAZW	Arzew El-Djedid	DZA	35.8	-0.2	0.3
DZBJA	Bejaia	DZA	36.75	5.05	0.3
DZBSF	Beni Saf	DZA	35.3	-1.38333333333333	0.3
DZCHE	Cherchell	DZA	36.6	2.18333333333333	0.3
DZCOL	Collo	DZA	37.1	6.58333333333333	0.3
DZDEL	Dellys	DZA	36.9166666666667	3.91666666666667	0.3
DZGHA	Ghazaouet	DZA	35.1	-1.86666666666667	0.3
DZDJI	Jijel	DZA	36.8333333333333	5.78333333333333	0.3
DZMOS	Mostaganem	DZA	35.9333333333333	0.0833333333333333	0.3
DZORN	Oran	DZA	35.7166666666667	-0.65	0.3
DZSKI	Skikda	DZA	36.8833333333333	6.9	0.3
DZTEN	Tenes	DZA	36.5833333333333	1.3	0.3
ASPPG	Pago-Pago	ASM	-14.2833333333333	-170.666666666667	0.3
AOAZZ	Ambriz	AGO	-7.83333333333333	13.1	0.3
AOCAB	Cabinda	AGO	-5.55	12.1833333333333	0.3
AOLOB	Lobito	AGO	-12.3333333333333	13.55	0.3
AOLAD	Luanda	AGO	-8.78333333333333	13.2666666666667	0.3
AOMAL	Malongo Terminal	AGO	-5.43333333333333	12.0666666666667	0.3
AOMSZ	Mocamedes	AGO	-15.1833333333333	12.1166666666667	0.3
AOPAT	Palanca Terminal	AGO	-6.96666666666667	12.4	0.3
AOPBN	Porto Amboim	AGO	-10.7333333333333	13.75	0.3
AOSOQ	Quinfuquena Terminal	AGO	-6.33333333333333	12.25	0.3
AONDD	Sumbe	AGO	-11.2	13.8333333333333	0.3
AOTAK	Takula Terminal	AGO	-5.21666666666667	11.7833333333333	0.3
AGSJO	St John\\\\:s	ATG	17.1	-61.85	0.3
ARBHI	Bahia Blanca	ARG	-38.8166666666667	-62.2833333333333	0.3
ARBUE	Buenos Aires	ARG	-34.6	-58.3666666666667	0.3
ARCLC	Caleta Cordova	ARG	-45.7166666666667	-67.35	0.3
ARCVI	Caleta Olivia	ARG	-46.4333333333333	-67.5	0.3
ARCMP	Campana	ARG	-34.3333333333333	-58.9666666666667	0.3
ARCRD	Comodoro Rivadavia	ARG	-45.85	-67.4333333333333	0.3
ARCOU	Concepcion del Uruguay	ARG	-32.4166666666667	-58.2166666666667	0.3
ARPUD	Deseado	ARG	-47.75	-65.9166666666667	0.3
ARDME	Diamante	ARG	-32.1333333333333	-60.5833333333333	0.3
ARIBY	Ibicuy	ARG	-33.65	-59.25	0.3
ARINW	Ingeniero White	ARG	-38.8	-62.2666666666667	0.3
ARLPG	La Plata	ARG	-34.85	-57.8833333333333	0.3
ARPMY	Madryn	ARG	-42.7666666666667	-65.0333333333333	0.3
ARMDQ	Mar Del Plata	ARG	-38	-57.5333333333333	0.3
ARPBG	Puerto Belgrano	ARG	-38.9	-62.1	0.3
ARPGV	Puerto Galvan	ARG	-38.8	-62.3	0.3
ARNEC	Puerto Quequen	ARG	-38.5	-58.7333333333333	0.3
ARPRS	Puerto Rosales	ARG	-38.9166666666667	-62.0666666666667	0.3
ARPCO	Punta Colorada	ARG	-41.7	-65	0.3
ARPLO	Punta Loyola	ARG	-51.6	-69.0166666666667	0.3
ARQQN	Quequen	ARG	-38.5166666666667	-58.7666666666667	0.3
ARRAM	Ramallo	ARG	-33.5	-60	0.3
ARRGL	Rio Gallegos	ARG	-51.6166666666667	-68.9666666666667	0.3
